locationUid,assetUid,timestamp,latitude,longitude,speed_unit,direction_unit,eventUid,pedestrian_count,pedestrian_speed,pedestrian_direction,pedestrian_counter_count,pedestrian_counter_speed,pedestrian_counter_direction
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319548161,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTU0ODE2MQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319578485,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTU3ODQ4NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319608943,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTYwODk0Mw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319639000,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTYzOTAwMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319669125,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTY2OTEyNQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319699182,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTY5OTE4Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319729373,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTcyOTM3Mw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319759697,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTc1OTY5Nw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319789955,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTc4OTk1NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319820013,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTgyMDAxMw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319850204,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTg1MDIwNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319880261,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTg4MDI2MQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319910452,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTkxMDQ1Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319940710,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTk0MDcxMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319970901,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTk3MDkwMQ==,0.0,0.0,66.0,0.0,0.0,66.0
